State,ID,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,1,1083,1114,1146,1192,1071,1138,996,991,1038,1004,1154,1148,1207,1110,969,848,862,895,865,853,820,850,1083,948,953,930,934
Alaska,2,85,87,81,77,70,79,106,89,89,98,101,73,74,82,62,64,56,72,59,51,73,65,84,79,80,67,64
Arizona,4,904,1035,994,951,980,1024,1036,1051,1132,1118,1151,1179,1293,1071,938,806,759,826,821,849,773,897,952,998,1011,979,1054
Arkansas,5,609,631,615,660,625,604,652,611,640,640,703,654,665,649,600,596,571,551,560,498,470,550,561,525,520,511,638
California,6,4232,4192,3989,3688,3494,3559,3753,3956,4088,4224,4120,4333,4240,3995,3434,3090,2720,2816,2966,3107,3102,3387,3837,3884,3798,3719,3847
Colorado,8,586,645,617,613,628,626,681,741,743,642,667,606,535,554,548,465,450,447,474,482,488,547,608,648,632,597,622
Connecticut,9,310,317,310,339,329,301,341,318,325,298,294,278,311,296,302,224,320,221,264,286,248,270,304,281,293,249,295
Delaware,10,112,121,116,143,115,100,123,136,124,142,134,133,148,117,121,116,101,99,114,99,124,131,119,119,111,132,116
District of Columbia,11,69,58,62,60,54,41,48,68,47,67,43,48,37,44,34,29,24,27,15,20,23,23,27,31,31,23,36
Florida,12,2687,2805,2753,2785,2825,2920,2999,3012,3136,3169,3244,3518,3357,3213,2980,2560,2444,2400,2431,2403,2494,2938,3176,3116,3135,3185,3331
Georgia,13,1425,1488,1573,1577,1568,1508,1541,1647,1524,1603,1634,1729,1693,1641,1495,1292,1247,1226,1192,1180,1164,1432,1556,1540,1505,1492,1664
Hawaii,15,122,130,148,131,120,98,132,140,119,133,142,140,161,138,107,109,113,100,125,102,95,93,120,107,117,108,85
Idaho,16,250,262,258,259,265,278,276,259,264,293,260,275,267,252,232,226,209,167,184,214,186,216,253,245,234,224,214
Illinois,17,1554,1586,1477,1397,1393,1456,1418,1414,1420,1454,1355,1363,1254,1248,1043,911,927,918,956,991,924,998,1078,1090,1035,1009,1194
Indiana,18,971,960,984,935,982,1020,886,909,792,833,947,938,902,898,820,693,754,751,781,784,745,817,829,916,860,810,897
Iowa,19,478,527,465,468,449,490,445,446,405,443,388,450,439,446,412,371,390,360,365,317,322,320,402,330,319,336,337
Kansas,20,442,442,490,482,492,540,461,494,507,469,459,428,468,416,384,386,431,386,405,350,385,355,429,461,405,410,426
Kentucky,21,778,849,842,857,858,814,820,845,915,928,964,985,913,864,825,791,760,720,746,638,672,761,834,782,724,732,780
Louisiana,22,843,894,902,931,926,938,938,952,907,940,927,963,987,993,916,824,721,680,723,703,740,752,757,770,771,727,828
Maine,23,188,187,169,192,192,181,169,192,216,207,194,169,188,183,155,159,161,136,164,144,131,156,160,173,136,157,164
Maryland,24,651,671,608,611,606,590,588,659,661,650,643,614,652,614,591,549,496,485,511,465,442,520,522,558,512,535,567
